normalized_future,actual_future,last_date
CU1959 Comdty,C U59 Comdty,1959-09-21
CZ1959 Comdty,C Z59 Comdty,1959-12-21
CH1960 Comdty,C H60 Comdty,1960-03-22
CK1960 Comdty,C K60 Comdty,1960-05-19
CN1960 Comdty,C N60 Comdty,1960-07-20
CU1960 Comdty,C U60 Comdty,1960-09-21
CZ1960 Comdty,C Z60 Comdty,1960-12-20
CH1961 Comdty,C H61 Comdty,1961-03-21
CK1961 Comdty,C K61 Comdty,1961-05-19
CN1961 Comdty,C N61 Comdty,1961-07-20
CU1961 Comdty,C U61 Comdty,1961-09-20
CZ1961 Comdty,C Z61 Comdty,1961-12-19
CH1962 Comdty,C H62 Comdty,1962-03-21
CK1962 Comdty,C K62 Comdty,1962-05-21
CN1962 Comdty,C N62 Comdty,1962-07-20
CU1962 Comdty,C U62 Comdty,1962-09-19
CZ1962 Comdty,C Z62 Comdty,1962-12-18
CH1963 Comdty,C H63 Comdty,1963-03-20
CK1963 Comdty,C K63 Comdty,1963-05-21
CN1963 Comdty,C N63 Comdty,1963-07-22
CU1963 Comdty,C U63 Comdty,1963-09-19
CZ1963 Comdty,C Z63 Comdty,1963-12-19
CH1964 Comdty,C H64 Comdty,1964-03-19
CK1964 Comdty,C K64 Comdty,1964-05-19
CN1964 Comdty,C N64 Comdty,1964-07-21
CU1964 Comdty,C U64 Comdty,1964-09-21
CZ1964 Comdty,C Z64 Comdty,1964-12-21
CH1965 Comdty,C H65 Comdty,1965-03-22
CK1965 Comdty,C K65 Comdty,1965-05-19
CN1965 Comdty,C N65 Comdty,1965-07-21
CU1965 Comdty,C U65 Comdty,1965-09-21
CZ1965 Comdty,C Z65 Comdty,1965-12-20
CH1966 Comdty,C H66 Comdty,1966-03-22
CK1966 Comdty,C K66 Comdty,1966-05-19
CN1966 Comdty,C N66 Comdty,1966-07-20
CU1966 Comdty,C U66 Comdty,1966-09-21
CZ1966 Comdty,C Z66 Comdty,1966-12-20
CH1967 Comdty,C H67 Comdty,1967-03-21
CK1967 Comdty,C K67 Comdty,1967-05-19
CN1967 Comdty,C N67 Comdty,1967-07-20
CU1967 Comdty,C U67 Comdty,1967-09-20
CZ1967 Comdty,C Z67 Comdty,1967-12-19
CH1968 Comdty,C H68 Comdty,1968-03-20
CK1968 Comdty,C K68 Comdty,1968-05-21
CN1968 Comdty,C N68 Comdty,1968-07-22
CU1968 Comdty,C U68 Comdty,1968-09-19
CZ1968 Comdty,C Z68 Comdty,1968-12-19
CH1969 Comdty,C H69 Comdty,1969-03-20
CK1969 Comdty,C K69 Comdty,1969-05-20
CN1969 Comdty,C N69 Comdty,1969-07-22
CU1969 Comdty,C U69 Comdty,1969-09-19
CZ1969 Comdty,C Z69 Comdty,1969-12-18
CH1970 Comdty,C H70 Comdty,1970-03-19
CK1970 Comdty,C K70 Comdty,1970-05-19
CN1970 Comdty,C N70 Comdty,1970-07-22
CU1970 Comdty,C U70 Comdty,1970-09-21
CZ1970 Comdty,C Z70 Comdty,1970-12-21
CH1971 Comdty,C H71 Comdty,1971-03-22
CK1971 Comdty,C K71 Comdty,1971-05-19
CN1971 Comdty,C N71 Comdty,1971-07-21
CU1971 Comdty,C U71 Comdty,1971-09-21
CZ1971 Comdty,C Z71 Comdty,1971-12-20
CH1972 Comdty,C H72 Comdty,1972-03-21
CK1972 Comdty,C K72 Comdty,1972-05-19
CN1972 Comdty,C N72 Comdty,1972-07-20
CU1972 Comdty,C U72 Comdty,1972-09-20
CZ1972 Comdty,C Z72 Comdty,1972-12-19
CH1973 Comdty,C H73 Comdty,1973-03-21
CK1973 Comdty,C K73 Comdty,1973-05-21
CN1973 Comdty,C N73 Comdty,1973-07-20
CU1973 Comdty,C U73 Comdty,1973-09-19
CZ1973 Comdty,C Z73 Comdty,1973-12-18
CH1974 Comdty,C H74 Comdty,1974-03-20
CK1974 Comdty,C K74 Comdty,1974-05-21
CN1974 Comdty,C N74 Comdty,1974-07-22
CU1974 Comdty,C U74 Comdty,1974-09-19
CZ1974 Comdty,C Z74 Comdty,1974-12-19
CH1975 Comdty,C H75 Comdty,1975-03-19
CK1975 Comdty,C K75 Comdty,1975-05-20
CN1975 Comdty,C N75 Comdty,1975-07-22
CU1975 Comdty,C U75 Comdty,1975-09-19
CZ1975 Comdty,C Z75 Comdty,1975-12-18
CH1976 Comdty,C H76 Comdty,1976-03-22
CK1976 Comdty,C K76 Comdty,1976-05-19
CN1976 Comdty,C N76 Comdty,1976-07-21
CU1976 Comdty,C U76 Comdty,1976-09-21
CZ1976 Comdty,C Z76 Comdty,1976-12-20
CH1977 Comdty,C H77 Comdty,1977-03-22
CK1977 Comdty,C K77 Comdty,1977-05-19
CN1977 Comdty,C N77 Comdty,1977-07-20
CU1977 Comdty,C U77 Comdty,1977-09-21
CZ1977 Comdty,C Z77 Comdty,1977-12-20
CH1978 Comdty,C H78 Comdty,1978-03-21
CK1978 Comdty,C K78 Comdty,1978-05-19
CN1978 Comdty,C N78 Comdty,1978-07-20
CU1978 Comdty,C U78 Comdty,1978-09-20
CZ1978 Comdty,C Z78 Comdty,1978-12-19
CH1979 Comdty,C H79 Comdty,1979-03-21
CK1979 Comdty,C K79 Comdty,1979-05-21
CN1979 Comdty,C N79 Comdty,1979-07-20
CU1979 Comdty,C U79 Comdty,1979-09-19
CZ1979 Comdty,C Z79 Comdty,1979-12-18
CH1980 Comdty,C H80 Comdty,1980-03-20
CK1980 Comdty,C K80 Comdty,1980-05-20
CN1980 Comdty,C N80 Comdty,1980-07-22
CU1980 Comdty,C U80 Comdty,1980-09-19
CZ1980 Comdty,C Z80 Comdty,1980-12-18
CH1981 Comdty,C H81 Comdty,1981-03-20
CK1981 Comdty,C K81 Comdty,1981-05-19
CN1981 Comdty,C N81 Comdty,1981-07-22
CU1981 Comdty,C U81 Comdty,1981-09-21
CZ1981 Comdty,C Z81 Comdty,1981-12-21
CH1982 Comdty,C H82 Comdty,1982-03-22
CK1982 Comdty,C K82 Comdty,1982-05-19
CN1982 Comdty,C N82 Comdty,1982-07-21
CU1982 Comdty,C U82 Comdty,1982-09-21
CZ1982 Comdty,C Z82 Comdty,1982-12-20
CH1983 Comdty,C H83 Comdty,1983-03-22
CK1983 Comdty,C K83 Comdty,1983-05-19
CN1983 Comdty,C N83 Comdty,1983-07-20
CU1983 Comdty,C U83 Comdty,1983-09-21
CZ1983 Comdty,C Z83 Comdty,1983-12-20
CH1984 Comdty,C H84 Comdty,1984-03-21
CK1984 Comdty,C K84 Comdty,1984-05-21
CN1984 Comdty,C N84 Comdty,1984-07-20
CU1984 Comdty,C U84 Comdty,1984-09-19
CZ1984 Comdty,C Z84 Comdty,1984-12-19
CH1985 Comdty,C H85 Comdty,1985-03-20
CK1985 Comdty,C K85 Comdty,1985-05-21
CN1985 Comdty,C N85 Comdty,1985-07-22
CU1985 Comdty,C U85 Comdty,1985-09-19
CZ1985 Comdty,C Z85 Comdty,1985-12-19
CH1986 Comdty,C H86 Comdty,1986-03-19
CK1986 Comdty,C K86 Comdty,1986-05-20
CN1986 Comdty,C N86 Comdty,1986-07-22
CU1986 Comdty,C U86 Comdty,1986-09-19
CZ1986 Comdty,C Z86 Comdty,1986-12-19
CH1987 Comdty,C H87 Comdty,1987-03-23
CK1987 Comdty,C K87 Comdty,1987-05-21
CN1987 Comdty,C N87 Comdty,1987-07-22
CU1987 Comdty,C U87 Comdty,1987-09-22
CZ1987 Comdty,C Z87 Comdty,1987-12-22
CH1988 Comdty,C H88 Comdty,1988-03-23
CK1988 Comdty,C K88 Comdty,1988-05-19
CN1988 Comdty,C N88 Comdty,1988-07-20
CU1988 Comdty,C U88 Comdty,1988-09-21
CZ1988 Comdty,C Z88 Comdty,1988-12-20
CH1989 Comdty,C H89 Comdty,1989-03-21
CK1989 Comdty,C K89 Comdty,1989-05-19
CN1989 Comdty,C N89 Comdty,1989-07-20
CU1989 Comdty,C U89 Comdty,1989-09-20
CZ1989 Comdty,C Z89 Comdty,1989-12-19
CH1990 Comdty,C H90 Comdty,1990-03-21
CK1990 Comdty,C K90 Comdty,1990-05-21
CN1990 Comdty,C N90 Comdty,1990-07-20
CU1990 Comdty,C U90 Comdty,1990-09-19
CZ1990 Comdty,C Z90 Comdty,1990-12-19
CH1991 Comdty,C H91 Comdty,1991-03-19
CK1991 Comdty,C K91 Comdty,1991-05-21
CN1991 Comdty,C N91 Comdty,1991-07-22
CU1991 Comdty,C U91 Comdty,1991-09-19
CZ1991 Comdty,C Z91 Comdty,1991-12-19
CH1992 Comdty,C H92 Comdty,1992-03-20
CK1992 Comdty,C K92 Comdty,1992-05-19
CN1992 Comdty,C N92 Comdty,1992-07-22
CU1992 Comdty,C U92 Comdty,1992-09-21
CZ1992 Comdty,C Z92 Comdty,1992-12-21
CH1993 Comdty,C H93 Comdty,1993-03-22
CK1993 Comdty,C K93 Comdty,1993-05-19
CN1993 Comdty,C N93 Comdty,1993-07-21
CU1993 Comdty,C U93 Comdty,1993-09-21
CZ1993 Comdty,C Z93 Comdty,1993-12-20
CH1994 Comdty,C H94 Comdty,1994-03-22
CK1994 Comdty,C K94 Comdty,1994-05-19
CN1994 Comdty,C N94 Comdty,1994-07-20
CU1994 Comdty,C U94 Comdty,1994-09-21
CZ1994 Comdty,C Z94 Comdty,1994-12-20
CH1995 Comdty,C H95 Comdty,1995-03-22
CK1995 Comdty,C K95 Comdty,1995-05-19
CN1995 Comdty,C N95 Comdty,1995-07-20
CU1995 Comdty,C U95 Comdty,1995-09-20
CZ1995 Comdty,C Z95 Comdty,1995-12-19
CH1996 Comdty,C H96 Comdty,1996-03-20
CK1996 Comdty,C K96 Comdty,1996-05-21
CN1996 Comdty,C N96 Comdty,1996-07-22
CU1996 Comdty,C U96 Comdty,1996-09-19
CZ1996 Comdty,C Z96 Comdty,1996-12-19
CH1997 Comdty,C H97 Comdty,1997-03-19
CK1997 Comdty,C K97 Comdty,1997-05-20
CN1997 Comdty,C N97 Comdty,1997-07-22
CU1997 Comdty,C U97 Comdty,1997-09-19
CZ1997 Comdty,C Z97 Comdty,1997-12-19
CH1998 Comdty,C H98 Comdty,1998-03-20
CK1998 Comdty,C K98 Comdty,1998-05-19
CN1998 Comdty,C N98 Comdty,1998-07-22
CU1998 Comdty,C U98 Comdty,1998-09-21
CZ1998 Comdty,C Z98 Comdty,1998-12-21
CH1999 Comdty,C H99 Comdty,1999-03-22
CK1999 Comdty,C K99 Comdty,1999-05-19
