asset	cls	type	param	source	ticker	field
LA Comdty	Commodity	Market	-	BBG	LA1 Comdty	PX_LAST
LA Comdty	Commodity	Vol	Near	BBG	LA1 Comdty	1ST_MTH_IMPVOL_100.0%MNY_DF
LA Comdty	Commodity	Vol	Far	BBG	LA1 Comdty	2ND_MTH_IMPVOL_100.0%MNY_DF
LA Comdty	Commodity	Hedge	hedgeX2001-01	BBG	LAF01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-02	BBG	LAG01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-03	BBG	LAH01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-04	BBG	LAJ01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-05	BBG	LAK01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-06	BBG	LAM01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-07	BBG	LAN01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-08	BBG	LAQ01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-09	BBG	LAU01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-10	BBG	LAV01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-11	BBG	LAX01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2001-12	BBG	LAZ01 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2002-01	BBG	LAF02 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2002-02	BBG	LAG02 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2002-03	BBG	LAH02 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2002-04	BBG	LAJ02 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2002-05	BBG	LAK02 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2002-06	BBG	LAM02 Comdty	PX_LAST
LA Comdty	Commodity	Hedge	hedgeX2002-07	BBG	LAN02 Comdty	PX_LAST
